course,question,optionA,optionB,optionC,optionD,correctAnswer,,,,,,,,,,,,,
MTS104,The equation of a line perpendicular to y = x through (1, 1) is:,y = -x + 2,y = x + 1,y = -x,y = x - 1,A,,,,,,,,,,,,
MTS104,The cross product of (1,2, 3) and (0,1, 0) is:,(3,-3, 1),(-3,3, -1),(1,-1, 2),(-1,1, -2),A,
MTS104,The distance from (0,0, 0) to plane x + y + z = 1 is:,1/v3,1,v3,0,A,,,,,,,,,,,
MTS104,The scalar projection of (4, 0) onto (0, 1) is:,0,4,1,2,A,,,,,,,,,,,
MTS104,The vector (3,4, 5) minus (2,2, 2) is:,(1,2, 3),(3,4, 5),(2,2, 2),(5,6, 7),A,
MTS104,The angle between (1,0, 0) and (0,1, 0) is:,90°,0°,45°,180°,A,,,,,,,,,
MTS104,The magnitude of (4,3, 0) is:,5,6,7,8,A,,,,,,,,,,,
MTS104,The equation of a circle with center (0, 0) and radius 3 is:,x² + y² = 9,x² + y² = 3,x + y = 3,x² - y² = 9,A,,,,,,,,,,,,
MTS104,The slope of a line parallel to y = x/2 + 1 is:,2-Jan,-0.5,2,-2,A,,,,,,,,,,,,,
MTS104,The dot product of (0,1, 0) and (0,0, 1) is:,0,1,2,3,A,,,,,,,,,
MTS104,The parametric equation of a line through (0, 0) and (2, 3) is:,x = 2t, y = 3t,x = t, y = 2t,x = t + 2, y = t + 3,x = t, y = t + 2,A,,,,,,,
MTS104,The area of a parallelogram with adjacent sides (1, 1) and (1, -1) is:,2,4,6,8,A,,,,,,,,,,,
MTS104,The unit vector in the direction of (5, 12) is:,(5/13, 12/13),(5, 12),(1/5, 1/12),(13/5, 13/12),A,,,,,,,,
MTS104,The distance from (1, 0) to line y = x is:,v2/2,1,v2,0,A,,,,,,,,,,,,
MTS104,The cross product of (0,1, 0) and (0,0, 1) is:,(1,0, 0),(-1,0, 0),(0,1, 0),(0,0, 1),A,
MTS104,The line y = 2x + 1 is perpendicular to a line with slope:,-0.5,2,-2,2-Jan,A,,,,,,,,,,,,,
MTS104,The angle between vectors (2, 2) and (-2, 2) is:,90°,45°,135°,180°,A,,,,,,,,,,,
MTS104,The magnitude of (2,2, 2) is:,2v3,3,v3,6,A,,,,,,,,,,,
MTS104,The equation of a line through (1, 1) and (2, 2) is:,y = x,y = x + 1,y = x - 1,y = 2x,A,,,,,,,,,,,
MTS104,The vector projection of (1, 2) onto (0, 1) is:,(0, 2),(1, 0),(0, 1),(2, 0),A,,,,,,,
MTS104,The cross product of (1,0, 0) and (0,0, 1) is:,(0,1, 0),(0,-1, 0),(1,0, 0),(0,0, 1),A,
MTS104,The area of a triangle with vertices (0, 0), (3, 0), (0, 3) is:,4.5,9,3,6,A,,,,,,,,
MTS104,The slope of a line perpendicular to x-axis is:,Undefined,0,1,-1,A,,,,,,,,,,,,,
MTS104,The vector (1,1, 1) scaled by 3 is:,(3,3, 3),(1,1, 1),(2,2, 2),(4,4, 4),A,,,
MTS104,The distance between (0,0, 0) and (1,1, 1) is:,v3,3,1,v2,A,,,,,,,,,
MTS104,The dot product of (2,0, 0) and (0,3, 0) is:,0,6,2,3,A,,,,,,,,,
MTS104,The equation of a plane through (1,0, 0) normal to (0,1, 0) is:,y = 0,x = 0,z = 0,x + y + z = 0,A,,,,,,,,,
MTS104,The magnitude of the cross product |a × b| is maximum when:,a and b are perpendicular,a and b are parallel,a = b,a = 0,A,,,,,,,,,,,,,
MTS104,The direction cosines of (0,2, 0) are:,(0,1, 0),(1,0, 0),(0,0, 1),(0, 1/2, 0),A,,,
MTS104,The parametric equation of a line through (2, 3) with direction (0, 1) is:,x = 2, y = t + 3,x = t + 2, y = 3,x = t, y = t + 3,x = t + 2, y = t,A,,,,,,,
MTS104,The angle between (3, 0) and (0, 4) is:,90°,0°,45°,180°,A,,,,,,,,,,,
MTS104,The magnitude of (5,-12, 0) is:,13,14,15,16,A,,,,,,,,,,,
MTS104,The vector normal to the plane x + y = 0 is:,(1,1, 0),(1,0, 0),(0,1, 0),(0,0, 1),A,,,,,
MTS104,The work done by force (3, 4) over displacement (1, 0) is:,3,4,5,0,A,,,,,,,,,,,
MTS104,The centroid of triangle with vertices (2, 2), (4, 4), (6, 2) is:,(4, 8/3),(2, 2),(4, 4),(6, 2),A,,,,
MTS104,The equation of a line perpendicular to y = 3x + 1 through (0, 0) is:,y = -x/3,y = 3x,y = x/3,y = -3x,A,,,,,,,,,,,,
MTS104,The cross product of (1,0, 1) and (0,1, 0) is:,(1,-1, 1),(-1,1, -1),(1,1, -1),(-1,-1, 1),A,
MTS104,The distance from (0,0, 0) to plane x + y = 0 is:,0,1,v2,v3,A,,,,,,,,,,,
MTS104,The scalar projection of (4, 3) onto (0, 1) is:,3,4,0,1,A,,,,,,,,,,,
MTS104,The vector (2,3, 4) minus (1,2, 3) is:,(1,1, 1),(2,3, 4),(1,2, 3),(3,4, 5),A,
MTS104,The angle between (0,0, 1) and (1,0, 0) is:,90°,0°,45°,180°,A,,,,,,,,,
MTS104,The magnitude of (3,4, 0) is:,5,6,7,8,A,,,,,,,,,,,
MTS104,The equation of a circle with center (2, 2) and radius 1 is:,(x-2)² + (y-2)² = 1,x² + y² = 1,(x+2)² + (y+2)² = 1,x² + y² = 2,A,,,,,,,,,,,,
MTS104,The slope of a line parallel to y = -3x + 2 is:,-3,3,3-Jan,-0.333333333,A,,,,,,,,,,,,,
MTS104,The dot product of (1,1, 1) and (0,1, 0) is:,1,2,3,0,A,,,,,,,,,
MTS104,The parametric equation of a line through (1, 2) and (2, 1) is:,x = t, y = -t + 3,x = t + 1, y = t + 2,x = t, y = t + 1,x = t + 1, y = -t + 3,A,,,,,,,
MTS104,The area of a parallelogram with adjacent sides (3, 0) and (0, 4) is:,12,6,3,9,A,,,,,,,,,,,
MTS104,The unit vector in the direction of (3, -4) is:,(3/5, -4/5),(3, -4),(-3/5, 4/5),(5/3, -5/4),A,,,,,,,,
MTS104,The distance from (0, 0) to line x + y = 1 is:,v2/2,1,v2,0,A,,,,,,,,,,,,
MTS104,The cross product of (1,1, 0) and (0,1, 1) is:,(1,-1, 1),(-1,1, -1),(1,1, -1),(-1,-1, 1),A,
MTS104,The line y = -2x + 3 is perpendicular to a line with slope:,2-Jan,-0.5,2,-2,A,,,,,,,,,,,,,
MTS104,The angle between vectors (2, -2) and (-2, 2) is:,180°,90°,45°,0°,A,,,,,,,,,,,
MTS104,The magnitude of (0,1, 1) is:,v2,2,1,v3,A,,,,,,,,,,,
MTS104,The equation of a line through (0, 0) and (2, 2) is:,y = x,y = 2x,y = x/2,y = -x,A,,,,,,,,,,,
MTS104,The vector projection of (1, 1) onto (1, 0) is:,(1, 0),(0, 1),(1, 1),(0, 0),A,,,,,,,
MTS104,The cross product of (0,0, 1) and (0,1, 0) is:,(1,0, 0),(-1,0, 0),(0,1, 0),(0,0, 1),A,
MTS104,The area of a triangle with vertices (0, 0), (4, 0), (0, 4) is:,8,4,12,16,A,,,,,,,,
MTS104,The slope of a line parallel to y = x is:,1,-1,0,Undefined,A,,,,,,,,,,,,,
MTS104,The vector (1,1, 0) scaled by 2 is:,(2,2, 0),(1,1, 0),(3,3, 0),(0,0, 0),A,,,
MTS104,The distance between (0,0, 0) and (1,0, 0) is:,1,v2,v3,2,A,,,,,,,,,
MTS104,The dot product of (1,0, 0) and (0,0, 1) is:,0,1,2,3,A,,,,,,,,,
MTS104,The equation of a plane through (0,0, 1) normal to (1,0, 0) is:,x = 0,y = 0,z = 0,x + y + z = 0,A,,,,,,,,,
MTS104,The magnitude of the cross product |a × b| is zero when:,a and b are parallel,a and b are perpendicular,a = b,a = 0,A,,,,,,,,,,,,,
MTS104,The direction cosines of (0,1, 0) are:,(0,1, 0),(1,0, 0),(0,0, 1),(0, 1/2, 0),A,,,
MTS104,The parametric equation of a line through (1, 1) with direction (1, 1) is:,x = t + 1, y = t + 1,x = t, y = t,x = t + 1, y = t,x = t, y = t + 1,A,,,,,,,
MTS104,The angle between (3, 0) and (-3, 0) is:,180°,90°,45°,0°,A,,,,,,,,,,,
MTS104,The magnitude of (0,3, 0) is:,3,4,5,6,A,,,,,,,,,,,
MTS104,The vector normal to the plane x + z = 0 is:,(1,0, 1),(0,1, 0),(1,0, 0),(0,0, 1),A,,,,,
MTS104,The work done by force (1, 0) over displacement (0, 1) is:,0,1,2,3,A,,,,,,,,,,,
MTS104,The centroid of triangle with vertices (1, 0), (0, 1), (0, 0) is:,(1/3, 1/3),(0, 0),(1, 1),(0, 1),A,,,,
MTS104,The equation of a line perpendicular to y = -3x through (0, 0) is:,y = x/3,y = -x/3,y = 3x,y = -3x,A,,,,,,,,,,,,
MTS104,The cross product of (1,0, 0) and (1,1, 0) is:,(0,0, 1),(0,0, -1),(0,1, 0),(1,0, 0),A,
MTS104,The distance from (0,0, 0) to plane x = 1 is:,1,0,v2,v3,A,,,,,,,,,,,
MTS104,The scalar projection of (3, 3) onto (1, 1) is:,3,v2,2,0,A,,,,,,,,,,,
MTS104,The vector (5,6, 7) minus (2,3, 4) is:,(3,3, 3),(5,6, 7),(2,3, 4),(7,9, 11),A,
MTS104,The angle between (1,0, 0) and (0,1, 1) is:,90°,0°,45°,180°,A,,,,,,,,,
MTS104,The magnitude of (2,2, 0) is:,2v2,4,2,v2,A,,,,,,,,,,,
MTS104,The equation of a circle with center (0, 0) and radius 4 is:,x² + y² = 16,x² + y² = 4,x + y = 4,x² - y² = 16,A,,,,,,,,,,,,
MTS104,The slope of a line parallel to y = -x + 1 is:,-1,1,0,Undefined,A,,,,,,,,,,,,,
MTS104,The dot product of (0,1, 0) and (1,0, 0) is:,0,1,2,3,A,,,,,,,,,
MTS104,The parametric equation of a line through (0, 1) and (1, 0) is:,x = t, y = -t + 1,x = t, y = t,x = t + 1, y = t,x = t, y = t + 1,A,,,,,,,
MTS104,The area of a parallelogram with adjacent sides (4, 0) and (0, 3) is:,12,6,3,9,A,,,,,,,,,,,
MTS104,The unit vector in the direction of (1, 1) is:,(1/v2, 1/v2),(1, 1),(-1/v2, -1/v2),(v2, v2),A,,,,,,,,
MTS104,The distance from (0, 0) to line x - y = 1 is:,v2/2,1,v2,0,A,,,,,,,,,,,,
MTS104,The cross product of (1,0, 1) and (1,0, 0) is:,(0,1, -1),(-1,0, 1),(0,-1, 1),(1,0, -1),A,
MTS104,The line y = 3x + 1 is perpendicular to a line with slope:,-0.333333333,3,-3,3-Jan,A,,,,,,,,,,,,,
MTS104,The angle between vectors (1, 1) and (1, -1) is:,90°,45°,135°,180°,A,,,,,,,,,,,
MTS104,The magnitude of (1,0, 0) is:,1,v2,v3,2,A,,,,,,,,,,,
MTS104,The equation of a line through (0, 0) and (1, 2) is:,y = 2x,y = x,y = x/2,y = -x,A,,,,,,,,,,,
MTS104,The vector projection of (2, 2) onto (0, 1) is:,(0, 2),(2, 0),(0, 1),(1, 0),A,,,,,,,
MTS104,The cross product of (0,1, 0) and (1,0, 0) is:,(0,0, -1),(0,0, 1),(1,0, 0),(0,1, 0),A,
MTS104,The area of a triangle with vertices (0, 0), (2, 2), (4, 0) is:,4,8,2,6,A,,,,,,,,
MTS104,The slope of a line parallel to y = 2x is:,2,-2,2-Jan,-0.5,A,,,,,,,,,,,,,
MTS104,The vector (2,0, 0) scaled by 3 is:,(6,0, 0),(2,0, 0),(3,0, 0),(0,0, 0),A,,,
MTS104,The distance between (0,1, 0) and (1,0, 0) is:,v2,1,v3,2,A,,,,,,,,,
MTS104,The dot product of (1,1, 0) and (0,1, 1) is:,1,2,3,0,A,,,,,,,,,
MTS104,The equation of a plane through (0,0, 0) normal to (1,1, 0) is:,x + y = 0,x = 0,y = 0,z = 0,A,,,,,,,,,
MTS104,The magnitude of the cross product |a × b| is maximum when:,a and b are perpendicular,a and b are parallel,a = b,a = 0,A,,,,,,,,,,,,,
MTS104,The direction cosines of (1,1, 0) are:,(1/v2, 1/v2, 0),(1,1, 0),(0,0, 1),(1/2, 1/2, 0),A,,,
MTS104,The parametric equation of a line through (1, 0) with direction (1, 0) is:,x = t + 1, y = 0,x = t, y = 0,x = t + 1, y = t,x = t, y = t + 1,A,,,,,,,
MTS104,The angle between (2, 2) and (-2, -2) is:,180°,90°,45°,0°,A,,,,,,,,,,,
MTS104,The magnitude of (1,1, 1) is:,v3,3,1,v2,A,,,,,,,,,,,
MTS104,The vector normal to the plane x + y = 0 is:,(1,1, 0),(1,0, 0),(0,1, 0),(0,0, 1),A,,,,,
MTS104,The work done by force (0,0, 1) over displacement (1,1, 0) is:,0,1,2,3,A,,,,,,,,,
MTS104,The centroid of triangle with vertices (0, 0), (1, 0), (0, 1) is:,(1/3, 1/3),(0, 0),(1, 1),(0, 1),A,,,,
MTS104,The equation of a line perpendicular to y = -x/2 through (0, 0) is:,y = 2x,y = -2x,y = x/2,y = -x/2,A,,,,,,,,,,,,
MTS104,The cross product of (0,1, 0) and (0,0, 1) is:,(1,0, 0),(-1,0, 0),(0,1, 0),(0,0, 1),A,
MTS104,The distance from (0,0, 0) to plane z = 1 is:,1,0,v2,v3,A,,,,,,,,,,,
MTS104,The scalar projection of (1, 1) onto (0, 1) is:,1,0,2,v2,A,,,,,,,,,,,
MTS104,The vector (2,2, 2) minus (1,1, 1) is:,(1,1, 1),(2,2, 2),(0,0, 0),(3,3, 3),A,
MTS104,The angle between (0,0, 1) and (0,1, 0) is:,90°,0°,45°,180°,A,,,,,,,,,
MTS104,The magnitude of (4,0, 0) is:,4,3,5,6,A,,,,,,,,,,,
MTS104,The equation of a circle with center (1, 0) and radius 2 is:,(x-1)² + y² = 4,x² + y² = 4,(x+1)² + y² = 4,x² + y² = 2,A,,,,,,,,,,,,
MTS104,The slope of a line parallel to y = 2x + 1 is:,2,-2,2-Jan,-0.5,A,,,,,,,,,,,,,
MTS104,The dot product of (1,0, 1) and (0,0, 1) is:,1,0,2,3,A,,,,,,,,,
MTS104,The parametric equation of a line through (0, 0) and (1, 0) is:,x = t, y = 0,x = t, y = t,x = t + 1, y = 0,x = 0, y = t,A,,,,,,,
MTS104,The area of a parallelogram with adjacent sides (1, 0) and (0, 2) is:,2,4,6,8,A,,,,,,,,,,,
MTS104,The unit vector in the direction of (2, 0) is:,(1, 0),(0, 1),(2, 0),(0, 2),A,,,,,,,,
MTS104,The distance from (0, 0) to line x = 1 is:,1,0,v2,v3,A,,,,,,,,,,,,
MTS104,The cross product of (1,0, 0) and (0,1, 0) is:,(0,0, 1),(0,0, -1),(1,0, 0),(0,1, 0),A,
MTS104,The line y = x is perpendicular to a line with slope:,-1,1,0,Undefined,A,,,,,,,,,,,,,
MTS104,The angle between vectors (1, 0) and (0, -1) is:,90°,45°,135°,180°,A,,,,,,,,,,,
MTS104,The magnitude of (0,2, 0) is:,2,v2,v3,3,A,,,,,,,,,,,
MTS104,The equation of a line through (0, 0) and (0, 1) is:,x = 0,y = 0,x = 1,y = 1,A,,,,,,,,,,,
MTS104,The vector projection of (0, 2) onto (0, 1) is:,(0, 2),(0, 0),(2, 0),(1, 0),A,,,,,,,
MTS104,The cross product of (0,0, 1) and (0,1, 0) is:,(1,0, 0),(-1,0, 0),(0,1, 0),(0,0, 1),A,
MTS104,The area of a triangle with vertices (0, 0), (2, 0), (0, 2) is:,2,4,6,8,A,,,,,,,,
MTS104,The slope of a line parallel to y = -2x is:,-2,2,2-Jan,-0.5,A,,,,,,,,,,,,,
MTS104,The vector (1,0, 0) scaled by 2 is:,(2,0, 0),(1,0, 0),(0,1, 0),(0,0, 1),A,,,
MTS104,The distance between (0,0, 0) and (0,1, 0) is:,1,v2,v3,2,A,,,,,,,,,
MTS104,The dot product of (0,1, 0) and (0,0, 1) is:,0,1,2,3,A,,,,,,,,,
MTS104,The equation of a plane through (0,0, 0) normal to (0,0, 1) is:,z = 0,x = 0,y = 0,x + y + z = 0,A,,,,,,,,,
MTS104,The magnitude of the cross product |a × b| is zero when:,a and b are parallel,a and b are perpendicular,a = b,a = 0,A,,,,,,,,,,,,,
MTS104,The direction cosines of (0,0, 1) are:,(0,0, 1),(1,0, 0),(0,1, 0),(0,0, 1/2),A,,,
MTS104,The parametric equation of a line through (2, 0) with direction (0, 1) is:,x = 2, y = t,x = t, y = 2,x = t + 2, y = t,x = t, y = t + 2,A,,,,,,,
MTS104,The angle between (1, 0) and (0, 1) is:,90°,0°,45°,180°,A,,,,,,,,,,,
MTS104,The magnitude of (0,0, 5) is:,5,6,7,8,A,,,,,,,,,,,
MTS104,The vector normal to the plane x + y + z = 0 is:,(1,1, 1),(1,0, 0),(0,1, 0),(0,0, 1),A,,,,,
MTS104,The work done by force (0, 1) over displacement (1, 0) is:,0,1,2,3,A,,,,,,,,,,,
MTS104,The centroid of triangle with vertices (0, 0), (1, 1), (2, 0) is:,(1, 1/3),(0, 0),(1, 1),(2, 0),A,,,,
MTS104,The equation of a line perpendicular to y = 2x + 2 through (0, 0) is:,y = -x/2,y = 2x,y = x/2,y = -2x,A,,,,,,,,,,,,
MTS104,The cross product of (1,1, 0) and (1,0, 0) is:,(0,0, 1),(0,0, -1),(0,1, 0),(1,0, 0),A,
MTS104,The distance from (1,1, 0) to plane z = 0 is:,0,1,v2,v3,A,,,,,,,,,,,
MTS104,The scalar projection of (2, 0) onto (1, 0) is:,2,0,1,3,A,,,,,,,,,,,
MTS104,The vector (1,1, 1) minus (0,0, 0) is:,(1,1, 1),(0,0, 0),(2,2, 2),(3,3, 3),A,
MTS104,The angle between (0,1, 1) and (1,0, 0) is:,90°,0°,45°,180°,A,,,,,,,,,
MTS104,The magnitude of (2,0, 0) is:,2,v2,v3,3,A,,,,,,,,,,,
MTS104,The equation of a circle with center (1, 1) and radius 3 is:,(x-1)² + (y-1)² = 9,x² + y² = 9,(x+1)² + (y+1)² = 9,x² + y² = 3,A,,,,,,,,,,,,
MTS104,The slope of a line parallel to y = x + 3 is:,1,-1,0,Undefined,A,,,,,,,,,,,,,
MTS104,The dot product of (0,1, 0) and (1,0, 0) is:,0,1,2,3,A,,,,,,,,,
MTS104,The parametric equation of a line through (1, 0) and (0, 1) is:,x = 1 - t, y = t,x = t, y = 1 - t,x = t + 1, y = t,x = t, y = t + 1,A,,,,,,,
MTS104,The area of a parallelogram with adjacent sides (2, 2) and (2, -2) is:,8,4,2,6,A,,,,,,,,,,,
MTS104,The unit vector in the direction of (4, 3) is:,(4/5, 3/5),(4, 3),(-4/5, -3/5),(5/4, 5/3),A,,,,,,,,
MTS104,The distance from (1, 0) to line y = 0 is:,0,1,v2,2,A,,,,,,,,,,,,
MTS104,The cross product of (1,0, 0) and (0,1, 0) is:,(0,0, 1),(0,0, -1),(1,0, 0),(0,1, 0),A,
MTS104,The line y = -x is perpendicular to a line with slope:,1,-1,0,Undefined,A,,,,,,,,,,,,,
MTS104,The angle between vectors (2, 0) and (0, 2) is:,90°,45°,135°,180°,A,,,,,,,,,,,
MTS104,The magnitude of (0,2, 0) is:,2,v2,v3,3,A,,,,,,,,,,,
MTS104,The equation of a line through (0, 0) and (3, 3) is:,y = x,y = 2x,y = x/3,y = -x,A,,,,,,,,,,,
MTS104,The vector projection of (1, 0) onto (0, 1) is:,(0, 0),(1, 0),(0, 1),(1, 1),A,,,,,,,
MTS104,The cross product of (0,0, 1) and (0,1, 0) is:,(1,0, 0),(-1,0, 0),(0,1, 0),(0,0, 1),A,
MTS104,The area of a triangle with vertices (0, 0), (3, 0), (0, 3) is:,4.5,9,3,6,A,,,,,,,,
MTS104,The slope of a line parallel to y = -x/2 is:,-0.5,2-Jan,-2,2,A,,,,,,,,,,,,,
MTS104,The vector (0,0, 1) scaled by 4 is:,(0,0, 4),(0,0, 1),(1,1, 1),(4,4, 4),A,,,
MTS104,The distance between (0,0, 0) and (0,0, 1) is:,1,v2,v3,2,A,,,,,,,,,
MTS104,The dot product of (1,0, 1) and (0,1, 1) is:,1,2,3,0,A,,,,,,,,,
MTS104,The equation of a plane through (1,0, 1) normal to (0,1, 0) is:,y = 0,x = 0,z = 0,x + y + z = 0,A,,,,,,,,,
MTS104,The magnitude of the cross product |a × b| is zero when:,a and b are parallel,a and b are perpendicular,a = b,a = 0,A,,,,,,,,,,,,,
MTS104,The direction cosines of (2,2, 2) are:,(1/v3, 1/v3, 1/v3),(1,1, 1),(1/2, 1/2, 1/2),(v3, v3, v3),A,,,
MTS104,The parametric equation of a line through (0, 0) with direction (0, 1) is:,x = 0, y = t,x = t, y = 0,x = t, y = t,x = t + 1, y = t,A,,,,,,,
MTS104,The angle between (0, 1) and (1, 0) is:,90°,0°,45°,180°,A,,,,,,,,,,,
MTS104,The magnitude of (3,0, 0) is:,3,4,5,6,A,,,,,,,,,,,
MTS104,The vector normal to the plane x = 0 is:,(1,0, 0),(0,1, 0),(0,0, 1),(1,1, 0),A,,,,,
MTS104,The work done by force (1, 1) over displacement (1, 0) is:,1,2,3,0,A,,,,,,,,,,,
MTS104,The centroid of triangle with vertices (0, 0), (0, 2), (2, 0) is:,(2/3, 2/3),(0, 0),(2, 2),(1, 1),A,,,,
MTS104,The equation of a line perpendicular to y = x + 1 through (0, 0) is:,y = -x,y = x,y = x + 1,y = -x - 1,A,,,,,,,,,,,,
MTS104,The cross product of (0,0, 1) and (1,0, 0) is:,(0,1, 0),(0,-1, 0),(-1,0, 0),(1,0, 0),A,
MTS104,The distance from (0,0, 0) to plane y = 1 is:,1,0,v2,v3,A,,,,,,,,,,,
MTS104,The scalar projection of (0, 2) onto (1, 0) is:,0,2,1,3,A,,,,,,,,,,,
MTS104,The vector (3,3, 3) minus (1,1, 1) is:,(2,2, 2),(3,3, 3),(1,1, 1),(4,4, 4),A,
MTS104,The angle between (1,1, 1) and (0,0, 1) is:,45°,90°,0°,180°,A,,,,,,,,,
MTS104,The magnitude of (0,5, 0) is:,5,6,7,8,A,,,,,,,,,,,
MTS104,The equation of a circle with center (0, 0) and radius 1 is:,x² + y² = 1,x² + y² = 2,x + y = 1,x² - y² = 1,A,,,,,,,,,,,,
MTS104,The slope of a line parallel to y = x/3 is:,3-Jan,-0.333333333,3,-3,A,,,,,,,,,,,,,
MTS104,The dot product of (1,0, 0) and (1,0, 0) is:,1,0,2,3,A,,,,,,,,,
MTS104,The parametric equation of a line through (0, 0) and (2, 1) is:,x = 2t, y = t,x = t, y = 2t,x = t + 1, y = t,x = t, y = t + 1,A,,,,,,,
MTS104,The area of a parallelogram with adjacent sides (1, 2) and (2, 1) is:,3,4,2,5,A,,,,,,,,,,,
MTS104,The unit vector in the direction of (0, 1) is:,(0, 1),(1, 0),(0, -1),(1, 1),A,,,,,,,,
MTS104,The distance from (0, 0) to line y = x - 1 is:,v2/2,1,v2,0,A,,,,,,,,,,,,
MTS104,The cross product of (1,1, 1) and (0,0, 1) is:,(1,-1, 0),(-1,1, 0),(0,1, -1),(0,-1, 1),A,
MTS104,The line y = x/2 + 1 is perpendicular to a line with slope:,-2,2,2-Jan,-0.5,A,,,,,,,,,,,,,
MTS104,The angle between vectors (0, 2) and (2, 0) is:,90°,45°,135°,180°,A,,,,,,,,,,,
MTS104,The magnitude of (2,0, 0) is:,2,v2,v3,3,A,,,,,,,,,,,
MTS104,The equation of a line through (1, 1) and (2, 1) is:,y = 1,y = x,y = -x + 2,y = x - 1,A,,,,,,,,,,,
MTS104,The vector projection of (0, 1) onto (1, 0) is:,(0, 0),(1, 0),(0, 1),(1, 1),A,,,,,,,
MTS104,The cross product of (1,0, 0) and (0,1, 0) is:,(0,0, 1),(0,0, -1),(1,0, 0),(0,1, 0),A,
MTS104,The area of a triangle with vertices (0, 0), (1, 1), (0, 1) is:,2-Jan,1,2-Mar,2,A,,,,,,,,
MTS104,The slope of a line parallel to y = -x is:,-1,1,0,Undefined,A,,,,,,,,,,,,,
MTS104,The vector (0,0, 2) scaled by 3 is:,(0,0, 6),(0,0, 2),(1,1, 1),(3,3, 3),A,,,
MTS104,The distance between (1,0, 0) and (0,1, 1) is:,v3,v2,2,1,A,,,,,,,,,
MTS104,The dot product of (0,0, 1) and (0,1, 0) is:,0,1,2,3,A,,,,,,,,,
MTS104,The equation of a plane through (0,0, 0) normal to (1,1, 0) is:,x + y = 0,x = 0,y = 0,z = 0,A,,,,,,,,,
MTS104,The magnitude of the cross product |a × b| is maximum when:,a and b are perpendicular,a and b are parallel,a = b,a = 0,A,,,,,,,,,,,,,
MTS104,The direction cosines of (1,1, 0) are:,(1/v2, 1/v2, 0),(1,1, 0),(0,0, 1),(1/2, 1/2, 0),A,,,
MTS104,The parametric equation of a line through (1, 0) with direction (1, 0) is:,x = t + 1, y = 0,x = t, y = 0,x = t + 1, y = t,x = t, y = t + 1,A,,,,,,,
MTS104,The angle between (2, 2) and (-2, -2) is:,180°,90°,45°,0°,A,,,,,,,,,,,
MTS104,The magnitude of (1,1, 1) is:,v3,3,1,v2,A,,,,,,,,,,,
MTS104,The vector normal to the plane x + y = 0 is:,(1,1, 0),(1,0, 0),(0,1, 0),(0,0, 1),A,,,,,
MTS104,The work done by force (0,0, 1) over displacement (1,1, 0) is:,0,1,2,3,A,,,,,,,,,
MTS104,The centroid of triangle with vertices (0, 0), (1, 0), (0, 1) is:,(1/3, 1/3),(0, 0),(1, 1),(0, 1),A,,,,
MTS104,The equation of a line perpendicular to y = -x/2 through (0, 0) is:,y = 2x,y = -2x,y = x/2,y = -x/2,A,,,,,,,,,,,,
MTS104,The cross product of (0,1, 0) and (0,0, 1) is:,(1,0, 0),(-1,0, 0),(0,1, 0),(0,0, 1),A,
MTS104,The distance from (0,0, 0) to plane z = 1 is:,1,0,v2,v3,A,,,,,,,,,,,
MTS104,The scalar projection of (1, 1) onto (0, 1) is:,1,0,2,v2,A,,,,,,,,,,,
MTS104,The vector (2,2, 2) minus (1,1, 1) is:,(1,1, 1),(2,2, 2),(0,0, 0),(3,3, 3),A,
MTS104,The angle between (0,0, 1) and (0,1, 0) is:,90°,0°,45°,180°,A,,,,,,,,,
MTS104,The magnitude of (4,0, 0) is:,4,3,5,6,A,,,,,,,,,,,
MTS104,The equation of a circle with center (1, 0) and radius 2 is:,(x-1)² + y² = 4,x² + y² = 4,(x+1)² + y² = 4,x² + y² = 2,A,,,,,,,,,,,,
MTS104,The slope of a line parallel to y = 2x + 1 is:,2,-2,2-Jan,-0.5,A,,,,,,,,,,,,,
MTS104,The dot product of (1,0, 1) and (0,0, 1) is:,1,0,2,3,A,,,,,,,,,
MTS104,The parametric equation of a line through (0, 0) and (1, 0) is:,x = t, y = 0,x = t, y = t,x = t + 1, y = 0,x = 0, y = t,A,,,,,,,
MTS104,The area of a parallelogram with adjacent sides (1, 0) and (0, 2) is:,2,4,6,8,A,,,,,,,,,,,
MTS104,The unit vector in the direction of (2, 0) is:,(1, 0),(0, 1),(2, 0),(0, 2),A,,,,,,,,
MTS104,The distance from (0, 0) to line x = 1 is:,1,0,v2,v3,A,,,,,,,,,,,,
MTS104,The cross product of (1,0, 0) and (0,1, 0) is:,(0,0, 1),(0,0, -1),(1,0, 0),(0,1, 0),A,
MTS104,The line y = x is perpendicular to a line with slope:,-1,1,0,Undefined,A,,,,,,,,,,,,,
MTS104,The angle between vectors (1, 0) and (0, -1) is:,90°,45°,135°,180°,A,,,,,,,,,,,
MTS104,The magnitude of (0,2, 0) is:,2,v2,v3,3,A,,,,,,,,,,,
MTS104,The equation of a line through (0, 0) and (0, 1) is:,x = 0,y = 0,x = 1,y = 1,A,,,,,,,,,,,
MTS104,The vector projection of (0, 2) onto (0, 1) is:,(0, 2),(0, 0),(2, 0),(1, 0),A,,,,,,,
MTS104,The cross product of (0,0, 1) and (0,1, 0) is:,(1,0, 0),(-1,0, 0),(0,1, 0),(0,0, 1),A,
MTS104,The area of a triangle with vertices (0, 0), (2, 0), (0, 2) is:,2,4,6,8,A,,,,,,,,
