course,question,optionA,optionB,optionC,optionD,correctAnswer,,,,
PHY102,What is the time constant of a circuit with R = 4000 O and C = 2 ?F?,0.008 s,0.08 s,0.8 s,8 s,A,,,,
PHY102,What type of capacitor is used for high-frequency filtering?,Ceramic,Mica,Electrolytic,Air,A,,,,
PHY102,What is the charge stored in a 20 ?F capacitor at 300 V?,6000 ?C,3000 ?C,2000 ?C,1000 ?C,A,,,,
PHY102,What is the energy stored in a 15 ?F capacitor at 400 V?,1.2 J,2.4 J,0.6 J,4.8 J,A,,,,
PHY102,What is the electric field at a point 5 m from a 35 ?C charge?,12600 N/C,6300 N/C,25200 N/C,5040 N/C,A,,,,
PHY102,What is the net capacitance of three 20 ?F capacitors in series?,6.67 ?F,10 ?F,20 ?F,60 ?F,A,,,,
PHY102,What is the net capacitance of three 20 ?F capacitors in parallel?,20 ?F,40 ?F,60 ?F,80 ?F,C,,,,
PHY102,What is the electric potential at a point 4 m from a 16 ?C charge?,36000 V,18000 V,9000 V,7200 V,C,,,,
PHY102,What is the unit of electric displacement?,C/m?,N/C,V/m,J/m,A,,,,
PHY102,What type of capacitor is used for high-power filtering?,Ceramic,Mica,Electrolytic,Air,C,,,,
PHY102,What happens to the electric field when a conductor is grounded?,Increases,Decreases,Becomes zero,Remains unchanged,C,,,,
PHY102,What is the force between two 12 ?C charges 2 m apart?,3.24 x 107 N,1.62 x 107 N,6.48 x 107 N,1.296 x 108 N,A,,,,
PHY102,What is the electric field intensity at 4 m from a 20 ?C charge?,11250 N/C,5625 N/C,22500 N/C,4500 N/C,A,,,,
PHY102,What is the role of a capacitor in a decoupling circuit?,Store charge,Block DC,Amplify voltage,Reduce high-frequency noise,D,,,,
PHY102,What is the dielectric strength of ceramics approximately?,10-20 kV/mm,20-40 kV/mm,50-100 kV/mm,100-200 kV/mm,C,,,,
PHY102,What is the capacitance of a capacitor with plates 0.1 m?, 0.002 m apart, and dielectric constant 5?,22.14 nF,44.27 nF,11.07 nF,88.54 nF,A,,
PHY102,What is the energy stored in a 40 ?F capacitor at 100 V?,0.2 J,0.4 J,0.1 J,0.8 J,A,,,,
PHY102,What is the electric field between plates 5 mm apart with 500 V potential difference?,100 kV/m,50 kV/m,25 kV/m,10 kV/m,A,,,,
PHY102,What is the charge on a 30 ?F capacitor at 200 V?,6000 ?C,3000 ?C,2000 ?C,1000 ?C,A,,,,
PHY102,What happens to the force between two charges if one charge is quadrupled?,Quadruples,Eight times,Halves,Quarter,A,,,,
PHY102,What is the electric field at 3 m from a 27 ?C charge?,27000 N/C,9000 N/C,54000 N/C,18000 N/C,A,,,,
PHY102,What is the purpose of a capacitor in a resonant circuit?,Store charge,Control frequency,Amplify voltage,Reduce current,B,,,,
PHY102,What type of capacitor is used for high-stability tuning?,Ceramic,Mica,Electrolytic,Air,B,,,,
PHY102,What is the unit of electric field intensity?,N/C,V/m,J/C,Both A and B,D,,,,
PHY102,What happens to the capacitance when the plate area is halved?,Doubles,Halves,Quadruples,Quarter,B,,,,
PHY102,What is the electric flux through a closed surface with a 40 ?C charge?,4.52 x 106 N?m?/C,9.04 x 106 N?m?/C,2.26 x 106 N?m?/C,18.08 x 106 N?m?/C,A,,,,
PHY102,What is the dielectric constant of oil approximately?,4-Feb,10-May,20-Oct,20-30,A,,,,
PHY102,What is the time constant of a circuit with R = 5000 O and C = 2 ?F?,0.01 s,0.1 s,1 s,10 s,A,,,,
PHY102,What type of capacitor is used for high-frequency bypass?,Ceramic,Mica,Electrolytic,Air,A,,,,
PHY102,What is the charge stored in a 25 ?F capacitor at 300 V?,7500 ?C,3750 ?C,2500 ?C,1250 ?C,A,,,,
PHY102,What is the energy stored in a 20 ?F capacitor at 400 V?,1.6 J,3.2 J,0.8 J,6.4 J,A,,,,
PHY102,What is the electric field at a point 5 m from a 40 ?C charge?,14400 N/C,7200 N/C,28800 N/C,5760 N/C,A,,,,
PHY102,What is the net capacitance of four 25 ?F capacitors in series?,6.25 ?F,12.5 ?F,25 ?F,100 ?F,A,,,,
PHY102,What is the net capacitance of four 25 ?F capacitors in parallel?,25 ?F,50 ?F,75 ?F,100 ?F,D,,,,
PHY102,What is the electric potential at a point 3 m from a 15 ?C charge?,45000 V,22500 V,15000 V,5000 V,C,,,,
PHY102,What is the unit of electric flux density?,C/m?,N/C,V/m,J/m,A,,,,
PHY102,What type of capacitor is used for high-power applications?,Ceramic,Mica,Electrolytic,Air,C,,,,
PHY102,What happens to the electric field when a conductor is charged?,Increases,Decreases,Becomes zero,Remains unchanged,A,,,,
PHY102,What is the force between two 15 ?C charges 2 m apart?,5.06 x 107 N,2.53 x 107 N,1.01 x 108 N,2.02 x 108 N,A,,,,
PHY102,What is the electric field intensity at 4 m from a 25 ?C charge?,14062.5 N/C,7031.25 N/C,28125 N/C,5625 N/C,A,,,,
PHY102,What is the role of a capacitor in a filter circuit?,Store charge,Block DC,Amplify voltage,Reduce high-frequency noise,D,,,,
PHY102,What is the dielectric strength of paper approximately?,10-20 kV/mm,20-40 kV/mm,50-100 kV/mm,100-200 kV/mm,A,,,,
PHY102,What is the capacitance of a capacitor with plates 0.12 m?, 0.002 m apart, and dielectric constant 3?,15.93 nF,31.86 nF,7.97 nF,63.72 nF,A,,
PHY102,What is the energy stored in a 50 ?F capacitor at 100 V?,0.25 J,0.5 J,0.125 J,1 J,A,,,,
PHY102,What is the electric field between plates 6 mm apart with 600 V potential difference?,100 kV/m,50 kV/m,25 kV/m,10 kV/m,A,,,,
PHY102,What is the charge on a 40 ?F capacitor at 200 V?,8000 ?C,4000 ?C,2000 ?C,1000 ?C,A,,,,
PHY102,What happens to the force between two charges if the distance is halved?,Quadruples,Doubles,Halves,Quarter,A,,,,
PHY102,What is the electric field at 3 m from a 30 ?C charge?,30000 N/C,10000 N/C,60000 N/C,20000 N/C,A,,,,
PHY102,What is the purpose of a capacitor in a timing circuit?,Store charge,Control frequency,Amplify voltage,Reduce current,B,,,,
PHY102,What type of capacitor is used for high-precision applications?,Ceramic,Mica,Electrolytic,Air,B,,,,
PHY102,What is the unit of electric potential gradient?,V/m,N/C,J/C,Both A and B,D,,,,
PHY102,What happens to the capacitance when the dielectric constant is tripled?,Triples,Halves,Quadruples,Quarter,A,,,,
PHY102,What is the electric flux through a closed surface with a 50 ?C charge?,5.65 x 106 N?m?/C,11.3 x 106 N?m?/C,2.82 x 106 N?m?/C,22.6 x 106 N?m?/C,A,,,,
PHY102,What is the dielectric constant of mica approximately?,2-Jan,8-Mar,20-Oct,20-30,B,,,,
PHY102,What is the time constant of a circuit with R = 6000 O and C = 2 ?F?,0.012 s,0.12 s,1.2 s,12 s,A,,,,
PHY102,What type of capacitor is used for high-frequency decoupling?,Ceramic,Mica,Electrolytic,Air,A,,,,
PHY102,What is the charge stored in a 30 ?F capacitor at 300 V?,9000 ?C,4500 ?C,3000 ?C,1500 ?C,A,,,,
PHY102,What is the energy stored in a 25 ?F capacitor at 400 V?,2 J,4 J,1 J,8 J,A,,,,
PHY102,What is the electric field at a point 5 m from a 50 ?C charge?,18000 N/C,9000 N/C,36000 N/C,7200 N/C,A,,,,
PHY102,What is the net capacitance of five 20 ?F capacitors in series?,4 ?F,10 ?F,20 ?F,100 ?F,A,,,,
PHY102,What is the net capacitance of five 20 ?F capacitors in parallel?,20 ?F,40 ?F,60 ?F,100 ?F,D,,,,
PHY102,What is the electric potential at a point 4 m from a 20 ?C charge?,45000 V,22500 V,11250 V,9000 V,C,,,,
PHY102,What is the unit of electric displacement?,C/m?,N/C,V/m,J/m,A,,,,
PHY102,What type of capacitor is used for high-voltage applications?,Ceramic,Mica,Electrolytic,Air,B,,,,
PHY102,What happens to the electric field when a dielectric is inserted?,Increases,Decreases,Becomes zero,Remains unchanged,B,,,,
PHY102,What is the force between two 20 ?C charges 2 m apart?,9 x 107 N,4.5 x 107 N,1.8 x 108 N,3.6 x 108 N,A,,,,
PHY102,What is the electric field intensity at 5 m from a 40 ?C charge?,14400 N/C,7200 N/C,28800 N/C,5760 N/C,A,,,,
PHY102,What is the role of a capacitor in a coupling circuit?,Store charge,Block DC,Amplify voltage,Reduce high-frequency noise,B,,,,
PHY102,What is the dielectric strength of oil approximately?,10-20 kV/mm,20-40 kV/mm,50-100 kV/mm,100-200 kV/mm,A,,,,
PHY102,What is the capacitance of a capacitor with plates 0.15 m?, 0.003 m apart, and dielectric constant 2?,8.85 nF,17.7 nF,4.43 nF,35.4 nF,A,,
PHY102,What is the energy stored in a 60 ?F capacitor at 100 V?,0.3 J,0.6 J,0.15 J,1.2 J,A,,,,
PHY102,What is the electric field between plates 5 mm apart with 750 V potential difference?,150 kV/m,75 kV/m,30 kV/m,15 kV/m,A,,,,
PHY102,What is the charge on a 50 ?F capacitor at 200 V?,10000 ?C,5000 ?C,2500 ?C,1250 ?C,A,,,,
PHY102,What happens to the force between two charges if both charges are halved?,4-Jan,2-Jan,2,4,A,,,,
PHY102,What is the electric field at 4 m from a 32 ?C charge?,18000 N/C,9000 N/C,36000 N/C,7200 N/C,A,,,,
PHY102,What is the purpose of a capacitor in a resonant circuit?,Store charge,Control frequency,Amplify voltage,Reduce current,B,,,,
PHY102,What type of capacitor is used for high-stability tuning?,Ceramic,Mica,Electrolytic,Air,B,,,,
PHY102,What is the unit of electric field strength?,N/C,V/m,J/C,Both A and B,D,,,,
PHY102,What happens to the capacitance when the plate area is quadrupled?,Doubles,Quadruples,Halves,Quarter,B,,,,
PHY102,What is the electric flux through a closed surface with a 60 ?C charge?,6.78 x 106 N?m?/C,13.56 x 106 N?m?/C,3.39 x 106 N?m?/C,27.12 x 106 N?m?/C,A,,,,
PHY102,What is the dielectric constant of ceramics approximately?,20-Oct,20-40,50-100,100-1000,D,,,,
PHY102,What is the time constant of a circuit with R = 7000 O and C = 2 ?F?,0.014 s,0.14 s,1.4 s,14 s,A,,,,
PHY102,What type of capacitor is used for high-frequency filtering?,Ceramic,Mica,Electrolytic,Air,A,,,,
PHY102,What is the charge stored in a 40 ?F capacitor at 300 V?,12000 ?C,6000 ?C,4000 ?C,2000 ?C,A,,,,
PHY102,What is the energy stored in a 30 ?F capacitor at 400 V?,2.4 J,4.8 J,1.2 J,9.6 J,A,,,,
PHY102,What is the electric field at a point 5 m from a 60 ?C charge?,21600 N/C,10800 N/C,43200 N/C,8640 N/C,A,,,,
PHY102,What is the net capacitance of four 30 ?F capacitors in series?,7.5 ?F,15 ?F,30 ?F,120 ?F,A,,,,
PHY102,What is the net capacitance of four 30 ?F capacitors in parallel?,30 ?F,60 ?F,90 ?F,120 ?F,D,,,,
PHY102,What is the electric potential at a point 3 m from a 18 ?C charge?,54000 V,27000 V,18000 V,6000 V,C,,,,
PHY102,What is the unit of electric flux density?,C/m?,N/C,V/m,J/m,A,,,,
PHY102,What type of capacitor is used for high-power filtering?,Ceramic,Mica,Electrolytic,Air,C,,,,
PHY102,What happens to the electric field when a conductor is grounded?,Increases,Decreases,Becomes zero,Remains unchanged,C,,,,
PHY102,What is the force between two 25 ?C charges 2 m apart?,1.406 x 108 N,7.03 x 107 N,2.812 x 108 N,5.625 x 108 N,A,,,,
PHY102,What is the electric field intensity at 5 m from a 50 ?C charge?,18000 N/C,9000 N/C,36000 N/C,7200 N/C,A,,,,
PHY102,What is the role of a capacitor in a decoupling circuit?,Store charge,Block DC,Amplify voltage,Reduce high-frequency noise,D,,,,
PHY102,What is the dielectric strength of mica approximately?,10-20 kV/mm,20-40 kV/mm,50-200 kV/mm,100-200 kV/mm,C,,,,
PHY102,What is the capacitance of a capacitor with plates 0.2 m?, 0.002 m apart, and dielectric constant 2?,17.7 nF,35.4 nF,8.85 nF,70.8 nF,A,,
PHY102,What is the energy stored in a 70 ?F capacitor at 100 V?,0.35 J,0.7 J,0.175 J,1.4 J,A,,,,
PHY102,What is the electric field between plates 6 mm apart with 900 V potential difference?,150 kV/m,75 kV/m,30 kV/m,15 kV/m,A,,,,
PHY102,What is the charge on a 60 ?F capacitor at 200 V?,12000 ?C,6000 ?C,4000 ?C,2000 ?C,A,,,,
PHY102,What happens to the force between two charges if the distance is tripled?,9-Jan,3-Jan,3,9,A,,,,
PHY102,What is the electric field at 4 m from a 40 ?C charge?,22500 N/C,11250 N/C,45000 N/C,9000 N/C,A,,,,
PHY102,What is the purpose of a capacitor in a smoothing circuit?,Store charge,Filter noise,Amplify voltage,Reduce current,B,,,,
PHY102,What type of capacitor is used for high-precision applications?,Ceramic,Mica,Electrolytic,Air,B,,,,
PHY102,What is the unit of electric potential gradient?,V/m,N/C,J/C,Both A and B,D,,,,
PHY102,What happens to the capacitance when the dielectric constant is quadrupled?,Quadruples,Halves,Triples,Quarter,A,,,,
PHY102,What is the electric flux through a closed surface with a 70 ?C charge?,7.91 x 106 N?m?/C,15.82 x 106 N?m?/C,3.95 x 106 N?m?/C,31.64 x 106 N?m?/C,A,,,,
PHY102,What is the dielectric constant of paper approximately?,4-Feb,10-May,20-Oct,20-30,A,,,,
PHY102,What is the time constant of a circuit with R = 8000 O and C = 2 ?F?,0.016 s,0.16 s,1.6 s,16 s,A,,,,
PHY102,What type of capacitor is used for high-frequency decoupling?,Ceramic,Mica,Electrolytic,Air,A,,,,
PHY102,What is the charge stored in a 50 ?F capacitor at 300 V?,15000 ?C,7500 ?C,5000 ?C,2500 ?C,A,,,,
PHY102,What is the energy stored in a 40 ?F capacitor at 400 V?,3.2 J,6.4 J,1.6 J,12.8 J,A,,,,
PHY102,What is the electric field at a point 5 m from a 70 ?C charge?,25200 N/C,12600 N/C,50400 N/C,10080 N/C,A,,,,
PHY102,What is the net capacitance of five 25 ?F capacitors in series?,5 ?F,12.5 ?F,25 ?F,125 ?F,A,,,,
PHY102,What is the net capacitance of five 25 ?F capacitors in parallel?,25 ?F,50 ?F,75 ?F,125 ?F,D,,,,
PHY102,What is the electric potential at a point 4 m from a 25 ?C charge?,56250 V,28125 V,14062.5 V,11250 V,C,,,,
PHY102,What is the unit of electric displacement?,C/m?,N/C,V/m,J/m,A,,,,
PHY102,What type of capacitor is used for high-power filtering?,Ceramic,Mica,Electrolytic,Air,C,,,,
PHY102,What happens to the electric field when a conductor is grounded?,Increases,Decreases,Becomes zero,Remains unchanged,C,,,,
PHY102,What is the force between two 30 ?C charges 2 m apart?,2.025 x 108 N,1.012 x 108 N,4.05 x 108 N,8.1 x 108 N,A,,,,
PHY102,What is the electric field intensity at 5 m from a 60 ?C charge?,21600 N/C,10800 N/C,43200 N/C,8640 N/C,A,,,,
PHY102,What is the role of a capacitor in a filter circuit?,Store charge,Block DC,Amplify voltage,Reduce high-frequency noise,D,,,,
PHY102,What is the dielectric strength of oil approximately?,10-20 kV/mm,20-40 kV/mm,50-100 kV/mm,100-200 kV/mm,A,,,,
PHY102,What is the capacitance of a capacitor with plates 0.25 m?, 0.002 m apart, and dielectric constant 2?,22.14 nF,44.27 nF,11.07 nF,88.54 nF,A,,
PHY102,What is the energy stored in a 80 ?F capacitor at 100 V?,0.4 J,0.8 J,0.2 J,1.6 J,A,,,,
PHY102,What is the electric field between plates 6 mm apart with 1200 V potential difference?,200 kV/m,100 kV/m,50 kV/m,25 kV/m,A,,,,
PHY102,What is the charge on a 70 ?F capacitor at 200 V?,14000 ?C,7000 ?C,3500 ?C,1750 ?C,A,,,,
PHY102,What happens to the force between two charges if the distance is quadrupled?,16-Jan,8-Jan,4-Jan,2-Jan,A,,,,
PHY102,What is the electric field at 4 m from a 50 ?C charge?,28125 N/C,14062.5 N/C,56250 N/C,11250 N/C,A,,,,
PHY102,What is the purpose of a capacitor in a smoothing circuit?,Store charge,Filter noise,Amplify voltage,Reduce current,B,,,,
PHY102,What type of capacitor is used for high-precision applications?,Ceramic,Mica,Electrolytic,Air,B,,,,
PHY102,What is the unit of electric potential gradient?,V/m,N/C,J/C,Both A and B,D,,,,
PHY102,What happens to the capacitance when the dielectric constant is halved?,Doubles,Halves,Quadruples,Quarter,B,,,,
PHY102,What is the electric flux through a closed surface with a 80 ?C charge?,9.04 x 106 N?m?/C,18.08 x 106 N?m?/C,4.52 x 106 N?m?/C,36.16 x 106 N?m?/C,A,,,,
PHY102,What is the dielectric constant of mica approximately?,2-Jan,8-Mar,20-Oct,20-30,B,,,,
PHY102,What is the time constant of a circuit with R = 9000 O and C = 2 ?F?,0.018 s,0.18 s,1.8 s,18 s,A,,,,
PHY102,What type of capacitor is used for high-frequency decoupling?,Ceramic,Mica,Electrolytic,Air,A,,,,
PHY102,What is the charge stored in a 60 ?F capacitor at 300 V?,18000 ?C,9000 ?C,6000 ?C,3000 ?C,A,,,,
PHY102,What is the energy stored in a 50 ?F capacitor at 400 V?,4 J,8 J,2 J,16 J,A,,,,
PHY102,What is the electric field at a point 5 m from a 80 ?C charge?,28800 N/C,14400 N/C,57600 N/C,11520 N/C,A,,,,
PHY102,What is the net capacitance of five 30 ?F capacitors in series?,6 ?F,15 ?F,30 ?F,150 ?F,A,,,,
PHY102,What is the net capacitance of five 30 ?F capacitors in parallel?,30 ?F,60 ?F,90 ?F,150 ?F,D,,,,
PHY102,What is the electric potential at a point 4 m from a 30 ?C charge?,67500 V,33750 V,16875 V,13500 V,C,,,,
PHY102,What is the unit of electric displacement?,C/m?,N/C,V/m,J/m,A,,,,
PHY102,What type of capacitor is used for high-power filtering?,Ceramic,Mica,Electrolytic,Air,C,,,,
PHY102,What happens to the electric field when a conductor is grounded?,Increases,Decreases,Becomes zero,Remains unchanged,C,,,,
PHY102,What is the force between two 40 ?C charges 2 m apart?,3.6 x 108 N,1.8 x 108 N,7.2 x 108 N,1.44 x 10? N,A,,,,
PHY102,What is the electric field intensity at 5 m from a 70 ?C charge?,25200 N/C,12600 N/C,50400 N/C,10080 N/C,A,,,,
PHY102,What is the role of a capacitor in a coupling circuit?,Store charge,Block DC,Amplify voltage,Reduce high-frequency noise,B,,,,
PHY102,What is the dielectric strength of paper approximately?,10-20 kV/mm,20-40 kV/mm,50-100 kV/mm,100-200 kV/mm,A,,,,
PHY102,What is the capacitance of a capacitor with plates 0.3 m?, 0.002 m apart, and dielectric constant 2?,26.55 nF,53.1 nF,13.28 nF,106.2 nF,A,,
PHY102,What is the energy stored in a 90 ?F capacitor at 100 V?,0.45 J,0.9 J,0.225 J,1.8 J,A,,,,
PHY102,What is the electric field between plates 6 mm apart with 1500 V potential difference?,250 kV/m,125 kV/m,50 kV/m,25 kV/m,A,,,,
PHY102,What is the charge on a 80 ?F capacitor at 200 V?,16000 ?C,8000 ?C,4000 ?C,2000 ?C,A,,,,
PHY102,What happens to the force between two charges if the distance is doubled?,4-Jan,2-Jan,2,4,A,,,,
PHY102,What is the electric field at 4 m from a 60 ?C charge?,33750 N/C,16875 N/C,67500 N/C,13500 N/C,A,,,,
PHY102,What is the purpose of a capacitor in a resonant circuit?,Store charge,Control frequency,Amplify voltage,Reduce current,B,,,,
PHY102,What type of capacitor is used for high-stability tuning?,Ceramic,Mica,Electrolytic,Air,B,,,,
PHY102,What is the unit of electric field strength?,N/C,V/m,J/C,Both A and B,D,,,,
PHY102,What happens to the capacitance when the plate area is tripled?,Triples,Halves,Quadruples,Quarter,A,,,,
PHY102,What is the electric flux through a closed surface with a 90 ?C charge?,1.017 x 107 N?m?/C,2.034 x 107 N?m?/C,5.085 x 106 N?m?/C,4.068 x 107 N?m?/C,A,,,,
PHY102,What is the dielectric constant of glass approximately?,2-Jan,8-Mar,20-Oct,20-30,B,,,,
PHY102,What is the time constant of a circuit with R = 10000 O and C = 2 ?F?,0.02 s,0.2 s,2 s,20 s,A,,,,
PHY102,What type of capacitor is used for high-frequency filtering?,Ceramic,Mica,Electrolytic,Air,A,,,,
PHY102,What is the charge stored in a 70 ?F capacitor at 300 V?,21000 ?C,10500 ?C,7000 ?C,3500 ?C,A,,,,
PHY102,What is the energy stored in a 60 ?F capacitor at 400 V?,4.8 J,9.6 J,2.4 J,19.2 J,A,,,,
PHY102,What is the electric field at a point 5 m from a 90 ?C charge?,32400 N/C,16200 N/C,64800 N/C,12960 N/C,A,,,,
PHY102,What is the net capacitance of five 40 ?F capacitors in series?,8 ?F,20 ?F,40 ?F,200 ?F,A,,,,
PHY102,What is the net capacitance of five 40 ?F capacitors in parallel?,40 ?F,80 ?F,120 ?F,200 ?F,D,,,,
PHY102,What is the electric potential at a point 4 m from a 40 ?C charge?,90000 V,45000 V,22500 V,18000 V,C,,,,
PHY102,What is the unit of electric flux density?,C/m?,N/C,V/m,J/m,A,,,,
PHY102,What type of capacitor is used for high-power applications?,Ceramic,Mica,Electrolytic,Air,C,,,,
PHY102,What happens to the electric field when a conductor is charged?,Increases,Decreases,Becomes zero,Remains unchanged,A,,,,
PHY102,What is the force between two 50 ?C charges 2 m apart?,5.625 x 108 N,2.812 x 108 N,1.125 x 10? N,2.25 x 10? N,A,,,,
PHY102,What is the electric field intensity at 5 m from a 80 ?C charge?,28800 N/C,14400 N/C,57600 N/C,11520 N/C,A,,,,
PHY102,What is the role of a capacitor in a decoupling circuit?,Store charge,Block DC,Amplify voltage,Reduce high-frequency noise,D,,,,
PHY102,What is the dielectric strength of ceramics approximately?,10-20 kV/mm,20-40 kV/mm,50-100 kV/mm,100-1000 kV/mm,D,,,,
PHY102,What is the capacitance of a capacitor with plates 0.4 m?, 0.002 m apart, and dielectric constant 2?,35.4 nF,70.8 nF,17.7 nF,141.6 nF,A,,
PHY102,What is the energy stored in a 100 ?F capacitor at 100 V?,0.5 J,1 J,0.25 J,2 J,A,,,,
PHY102,What is the electric field between plates 6 mm apart with 1800 V potential difference?,300 kV/m,150 kV/m,75 kV/m,30 kV/m,A,,,,
PHY102,What is the charge on a 90 ?F capacitor at 200 V?,18000 ?C,9000 ?C,4500 ?C,2250 ?C,A,,,,
PHY102,What happens to the force between two charges if the distance is halved?,Quadruples,Doubles,Halves,Quarter,A,,,,
PHY102,What is the electric field at 4 m from a 80 ?C charge?,45000 N/C,22500 N/C,90000 N/C,18000 N/C,A,,,,
PHY102,What is the purpose of a capacitor in a smoothing circuit?,Store charge,Filter noise,Amplify voltage,Reduce current,B,,,,
PHY102,What type of capacitor is used for high-precision applications?,Ceramic,Mica,Electrolytic,Air,B,,,,
PHY102,What is the unit of electric potential gradient?,V/m,N/C,J/C,Both A and B,D,,,,
PHY102,What happens to the capacitance when the dielectric constant is tripled?,Triples,Halves,Quadruples,Quarter,A,,,,
PHY102,What is the electric flux through a closed surface with a 100 ?C charge?,1.13 x 107 N?m?/C,2.26 x 107 N?m?/C,5.65 x 106 N?m?/C,4.52 x 107 N?m?/C,A,,,,
PHY102,What is the dielectric constant of oil approximately?,4-Feb,10-May,20-Oct,20-30,A,,,,
PHY102,What is the time constant of a circuit with R = 12000 O and C = 2 ?F?,0.024 s,0.24 s,2.4 s,24 s,A,,,,
PHY102,What type of capacitor is used for high-frequency decoupling?,Ceramic,Mica,Electrolytic,Air,A,,,,
PHY102,What is the charge stored in a 80 ?F capacitor at 300 V?,24000 ?C,12000 ?C,8000 ?C,4000 ?C,A,,,,
PHY102,What is the energy stored in a 70 ?F capacitor at 400 V?,5.6 J,11.2 J,2.8 J,22.4 J,A,,,,
PHY102,What is the electric field at a point 5 m from a 100 ?C charge?,36000 N/C,18000 N/C,72000 N/C,14400 N/C,A,,,,
PHY102,What is the net capacitance of five 50 ?F capacitors in series?,10 ?F,25 ?F,50 ?F,250 ?F,A,,,,
PHY102,What is the net capacitance of five 50 ?F capacitors in parallel?,50 ?F,100 ?F,150 ?F,250 ?F,D,,,,
PHY102,What is the electric potential at a point 4 m from a 50 ?C charge?,112500 V,56250 V,28125 V,22500 V,C,,,,
PHY102,What is the unit of electric displacement?,C/m?,N/C,V/m,J/m,A,,,,
PHY102,What type of capacitor is used for high-power filtering?,Ceramic,Mica,Electrolytic,Air,C,,,,
PHY102,What happens to the electric field when a conductor is grounded?,Increases,Decreases,Becomes zero,Remains unchanged,C,,,,
PHY102,What is the force between two 60 ?C charges 2 m apart?,8.1 x 108 N,4.05 x 108 N,1.62 x 10? N,3.24 x 10? N,A,,,,
PHY102,What is the electric field intensity at 5 m from a 90 ?C charge?,32400 N/C,16200 N/C,64800 N/C,12960 N/C,A,,,,
PHY102,What is the SI unit of electric charge?,Joule,Coulomb,Newton,Watt,C,,,,
PHY102,The force between two point charges is proportional to what law?,Gauss's law,Ohm's law,Coulomb's law,Faraday's law,C,,,,
PHY102,What is the electric field intensity due to a point charge proportional to?,1/r,1/r?,r,r?,B,,,,
PHY102,The electric field lines of a positive point charge point in which direction?,Inward,Outward,Parallel to the charge,Perpendicular to the charge,B,,,,
PHY102,What is the unit of electric field strength?,N/C,V/m,J/C,Both A and B,D,,,,
PHY102,An equipotential surface is always at what angle to the electric field?,0?,45?,90?,180?,C,,,,
PHY102,What does Gauss's law relate to?,Electric field to charge enclosed,Magnetic field to current,Electric field to voltage,Magnetic field to charge,A,,,,
PHY102,What is the permittivity of free space approximately?,8.854 x 10??? F/m,8.854 x 10??? F/m,8.854 x 10?? F/m,8.854 x 10??? F/m,A,,,,
PHY102,What is the dielectric constant of a vacuum?,0,1,10,100,B,,,,
PHY102,The capacitance of a parallel plate capacitor increases with what?,Larger plate area,Smaller plate area,Increased distance between plates,Higher voltage,A,,,,
PHY102,What is the unit of capacitance?,Farad,Volt,Coulomb,Joule,A,,,,
PHY102,What type of material is a dielectric?,Conductor,Insulator,Semiconductor,Superconductor,B,,,,
PHY102,What happens to the capacitance when a dielectric is inserted between the plates of a capacitor?,Increases,Decreases,Remains unchanged,Becomes zero,A,,,,
PHY102,The energy stored in a capacitor is proportional to what?,C,V?,CV,CV?,D,,,,
PHY102,What is the time constant of an RC circuit?,R/C,C/R,RC,1/RC,C,,,,
PHY102,What type of capacitor is used for high-frequency circuits?,Electrolytic,Mica,Ceramic,Paper,B,,,,
PHY102,What is the electric flux through a closed surface proportional to?,Charge enclosed,Charge outside,Surface area,Distance,B,,,,
PHY102,The potential difference across a capacitor is inversely proportional to what?,Capacitance,Charge,Voltage,Resistance,A,,,,
PHY102,What is the dielectric strength of a material a measure of?,Ability to conduct electricity,Ability to withstand electric field,Ability to store charge,Ability to resist voltage,B,,,,
PHY102,What is the unit of electric flux?,N?m?/C,V/m,J/C,C/m,A,,,,
PHY102,What happens to the electric field when a dielectric is placed in it?,Increases,Decreases,Remains unchanged,Becomes zero,B,,,,
PHY102,Which capacitor has the least breakdown voltage?,Mica,Paper,Ceramic,Electrolytic,D,,,,
PHY102,What is the charge stored on a 5 ?F capacitor at 100 V?,500 ?C,50 ?C,5 ?C,0.5 ?C,A,,,,
PHY102,What is the energy stored in a capacitor with C = 10 ?F and V = 200 V?,0.2 J,0.4 J,0.1 J,0.3 J,A,,,,
PHY102,What is the force between two charges of 1 ?C each, 1 m apart in vacuum?,9 x 10? N,9 x 106 N,9 x 10? N,9 x 10?? N,C,,,
PHY102,What is the electric field at a distance of 2 m from a 4 ?C charge?,900 N/C,1800 N/C,3600 N/C,7200 N/C,C,,,,
PHY102,The relative permittivity of a material is also known as what?,Dielectric constant,Capacitance,Permeability,Conductivity,A,,,,
PHY102,What type of capacitor is polarized?,Ceramic,Mica,Electrolytic,Air,C,,,,
PHY102,What is the net capacitance of three 12 ?F capacitors in series?,4 ?F,6 ?F,12 ?F,36 ?F,A,,,,
PHY102,What is the net capacitance of three 12 ?F capacitors in parallel?,4 ?F,12 ?F,24 ?F,36 ?F,D,,,,
PHY102,What is the electric potential due to a point charge proportional to?,1/r,1/r?,r,r?,A,,,,
PHY102,What is the relationship between electric field E and electric displacement D?,E = D/e,D = E/e,E = e/D,D = e/E,D,,,,
PHY102,What type of capacitor is used for power factor correction?,Ceramic,Mica,Electrolytic,Air,C,,,,
PHY102,What is the electric field inside a conductor under static conditions?,Zero,Infinite,Constant,Variable,A,,,,
